X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,longitude,latitude
357080.72,177728.27,409,opp 007,357080.72,177728.27,-2.61965654263483,51.4968542120579
356941.04,177490,410,On Col.21 Falcondale Rd,356941.04,177490,-2.62163953044831,51.4947012998089
357853.02,173184.710000001,411,Triangle/Berkley Place,357853.02,173184.71,-2.60798801394243,51.4560610033555
357768.84,173146.59,412,"West End Car Park, Level 0 Pedestrian Entrance",357768.84,173146.59,-2.60919496718915,51.455711951365
357756.79,173135.68,413,"West End Car Park, Level 0 Vehicle Entrance",357756.79,173135.68,-2.60936708156644,51.4556129525761
357743.08,173157.15,414,"West End Car Park, Lift (Right)",357743.08,173157.15,-2.60956697069366,51.4558049694605
357743.08,173157.15,415,"West End Car Park, Lift (Centre)",357743.08,173157.15,-2.60956697069366,51.4558049694605
357743.08,173157.15,416,"West End Car Park, Lift (Left)",357743.08,173157.15,-2.60956697069366,51.4558049694605
357724.04,173115.83,417,"West End Car Park, Level 7B Roof Parking Area on Front Stairwell",357724.04,173115.83,-2.60983603379274,51.4554320184941
357756.12,173187.85,418,"West End Car Park, Level 6A Roof Parking Area",357756.12,173187.85,-2.60938298163247,51.456081981837
357757.14,173143.689999999,419,"West End Car Park, Level 6B Main Parking Area #1",357757.14,173143.69,-2.60936300511353,51.4556849996387
357770.65,173180.390000001,420,"West End Car Park, Level 5A Parking Area Upper End",357770.65,173180.39,-2.60917297037228,51.4560159951033
357757.14,173143.689999999,421,"West End Car Park, Level 5B Main Parking Area",357757.14,173143.69,-2.60936300511353,51.4556849996387
357770.65,173180.390000001,422,"West End Car Park, Level 4A Parking Area Upper End",357770.65,173180.39,-2.60917297037228,51.4560159951033
357757.14,173143.689999999,423,"West End Car Park, Level 4B Main Parking Area",357757.14,173143.69,-2.60936300511353,51.4556849996387
357770.65,173180.390000001,424,"West End Car Park, Level 3A Parking Area Upper End",357770.65,173180.39,-2.60917297037228,51.4560159951033
